buzz_score_proxy,canonical_evidence_phrases,delta_count,effective_mention_count,effective_mention_share,evidence_references,growth_ratio_proxy,label_health_score,label_source,mention_count,mention_share,noisy_topic,quality_score,raw_topic_keys,reportability_score,reporting_status,reporting_topic_key,reporting_topic_label,salient_terms,supporting_phrases,usefulness_score,weak_topic
429.3744,"['Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'Cocoon Winter Melon Cleanser', 'Hada Labo']",30,364.0,0.182,"['tt_c_fc_0001_10', 'tt_c_fc_0001_12', 'tt_c_fc_0002_11', 'tt_r_fc_0002_01', 'tt_c_fc_0003_05']",0.1796,0.93,effective_topic_label,364,0.182,False,0.9936,['cleanser_brand_comparison'],0.9773,reportable,cleanser_brand_comparison,Cleanser Brand and Product Comparison,"['Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'Cocoon Winter Melon Cleanser', 'Hada Labo']","['Senka Perfect Whip', 'CeraVe SA Smoothing Cleanser', 'CeraVe Hydrating Cleanser', 'Senka Perfect White Clay', 'Senka Perfect Whip Acne Care']",0.9936,False
385.125,"['Eucerin pH5 Facial Cleanser', 'Cetaphil Oily Skin Cleanser', 'CeraVe Hydrating Cleanser', 'CeraVe SA Smoothing Cleanser', 'Hada Labo Acne Care Calming Cleanser']",5,375.0,0.1875,"['tt_p_fc_0001', 'tt_c_fc_0001_01', 'tt_c_fc_0001_11', 'tt_r_fc_0001_01', 'tt_r_fc_0001_04']",0.027,0.93,effective_topic_label,375,0.1875,False,0.9752,['cleanser_recommendation_by_skin_type'],0.9413,reportable,cleanser_recommendation_by_skin_type,Cleanser Recommendation by Skin Type,"['Eucerin pH5 Facial Cleanser', 'Cetaphil Oily Skin Cleanser', 'CeraVe Hydrating Cleanser', 'CeraVe SA Smoothing Cleanser', 'Hada Labo Acne Care Calming Cleanser']","['Simple Moisturising Facial Wash', 'CeraVe Foaming Cleanser', 'Cetaphil Gentle Skin Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Simple Refreshing Facial Wash']",0.9752,False
371.0,"['oil control', 'Hada Labo Acne Care Calming Cleanser', 'Eucerin pH5 Facial Cleanser', 'Eucerin ProAcne Solution Cleansing Gel', 'Cocoon Winter Melon Cleanser']",-33,371.0,0.1855,"['tt_c_fc_0001_01', 'tt_c_fc_0001_03', 'tt_c_fc_0001_05', 'tt_c_fc_0001_08', 'tt_c_fc_0001_12']",-0.1634,0.93,effective_topic_label,371,0.1855,False,0.9841,['oily_acne_cleansers'],0.9591,reportable,oily_acne_cleansers,Oily and Acne-Prone Skin Cleansers,"['oil control', 'Hada Labo Acne Care Calming Cleanser', 'Eucerin pH5 Facial Cleanser', 'Eucerin ProAcne Solution Cleansing Gel', 'Cocoon Winter Melon Cleanser']","['Senka Perfect Whip Acne Care', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Bioderma Sebium Gel Moussant', 'Senka Perfect Whip', 'SVR Sebiaclear Gel Moussant']",0.9841,False
325.5428,"['fake authenticity concern', 'Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Bioderma Sebium Gel Moussant', 'Cocoon Winter Melon Cleanser']",9,307.0,0.1535,"['tt_c_fc_0001_06', 'tt_c_fc_0001_07', 'tt_c_fc_0002_04', 'tt_p_fc_0003', 'tt_c_fc_0003_01']",0.0604,0.93,effective_topic_label,307,0.1535,False,1.0,['cleanser_authenticity_and_fake_goods'],0.9909,reportable,cleanser_authenticity_and_fake_goods,Cleanser Authenticity and Fake Goods,"['fake authenticity concern', 'Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Bioderma Sebium Gel Moussant', 'Cocoon Winter Melon Cleanser']","['Hada Labo Acne Care Calming Cleanser', 'CeraVe SA Smoothing Cleanser', 'Senka Perfect Whip Acne Care', 'Senka Perfect Whip', 'Senka Perfect White Clay']",1.0,False
288.12,"['Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Eucerin pH5 Facial Cleanser', 'Senka Perfect Whip', 'Simple Refreshing Facial Wash', 'Hada Labo']",4,280.0,0.14,"['tt_p_fc_0001', 'tt_c_fc_0001_07', 'tt_c_fc_0001_09', 'tt_r_fc_0001_01', 'tt_r_fc_0001_03']",0.029,0.93,effective_topic_label,280,0.14,False,0.986,['pricing_and_value'],0.9621,reportable,pricing_and_value,Pricing and Value,"['Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Eucerin pH5 Facial Cleanser', 'Senka Perfect Whip', 'Simple Refreshing Facial Wash', 'Hada Labo']","['Hada Labo Acne Care Calming Cleanser', 'Cocoon Winter Melon Cleanser', 'Senka Perfect White Clay', 'Senka Perfect Whip Acne Care', 'price']",0.986,False
241.0865,"['CeraVe Foaming Cleanser', 'Eucerin pH5 Facial Cleanser', 'Simple Refreshing Facial Wash', 'Bioderma Sebium Gel Moussant', 'Cocoon Winter Melon Cleanser']",3,235.0,0.1175,"['tt_c_fc_0001_13', 'tt_p_fc_0002', 'tt_c_fc_0002_02', 'tt_c_fc_0002_07', 'tt_c_fc_0004_03']",0.0259,0.93,effective_topic_label,235,0.1175,False,0.9911,['cleanser_texture_foam_scent'],0.973,reportable,cleanser_texture_foam_scent,"Cleanser Texture, Foam, and Scent","['CeraVe Foaming Cleanser', 'Eucerin pH5 Facial Cleanser', 'Simple Refreshing Facial Wash', 'Bioderma Sebium Gel Moussant', 'Cocoon Winter Melon Cleanser']","['SVR Sebiaclear Gel Moussant', 'Senka Perfect Whip', 'CeraVe SA Smoothing Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'CeraVe Hydrating Cleanser']",0.9911,False
226.1532,"['Cetaphil Gentle Skin Cleanser', 'CeraVe Hydrating Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Eucerin pH5 Facial Cleanser', 'Hada Labo']",4,218.0,0.109,"['tt_c_fc_0001_02', 'tt_c_fc_0003_08', 'tt_c_fc_0004_03', 'tt_p_fc_0006', 'tt_c_fc_0006_06']",0.0374,0.93,effective_topic_label,218,0.109,False,0.9832,['gentle_hydrating_cleansers'],0.9564,reportable,gentle_hydrating_cleansers,Gentle and Hydrating Cleansers,"['Cetaphil Gentle Skin Cleanser', 'CeraVe Hydrating Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Eucerin pH5 Facial Cleanser', 'Hada Labo']","['Hada Labo Acne Care Calming Cleanser', 'CeraVe SA Smoothing Cleanser', 'Simple Moisturising Facial Wash', 'Cetaphil', 'Simple Refreshing Facial Wash']",0.9832,False
107.0,"['Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Cocoon Winter Melon Cleanser', 'Eucerin pH5 Facial Cleanser', 'Senka Perfect Whip', 'Hada Labo']",-11,107.0,0.0535,"['tt_p_fc_0001', 'tt_c_fc_0001_09', 'tt_p_fc_0002', 'tt_c_fc_0002_12', 'tt_c_fc_0003_08']",-0.1864,0.93,effective_topic_label,107,0.0535,False,0.9945,['performance_and_battery'],0.9791,reportable,performance_and_battery,"Performance, Battery, and Charging","['Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Cocoon Winter Melon Cleanser', 'Eucerin pH5 Facial Cleanser', 'Senka Perfect Whip', 'Hada Labo']","['Simple Refreshing Facial Wash', 'CeraVe SA Smoothing Cleanser', 'Senka Perfect Whip Acne Care', 'Senka Perfect White Clay', 'CeraVe Hydrating Cleanser']",0.9945,False
88.0,"['overpriced concern', 'Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'CeraVe SA Smoothing Cleanser']",-6,88.0,0.044,"['tt_p_fc_0003', 'tt_c_fc_0004_09', 'tt_c_fc_0006_06', 'tt_r_fc_0007_01', 'tt_c_fc_0008_12']",-0.1277,0.93,effective_topic_label,88,0.044,False,0.9833,['cleanser_price_value_and_promo'],0.9575,reportable,cleanser_price_value_and_promo,"Cleanser Price, Value, and Promotions","['overpriced concern', 'Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'CeraVe SA Smoothing Cleanser']","['Cocoon Winter Melon Cleanser', 'CeraVe Hydrating Cleanser', 'Hada Labo', 'Senka Perfect Whip', 'Senka Perfect Whip Acne Care']",0.9833,False
73.0,"['Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'Cocoon Winter Melon Cleanser', 'Simple Refreshing Facial Wash']",-7,73.0,0.0365,"['tt_r_fc_0001_06', 'tt_r_fc_0003_02', 'tt_r_fc_0004_03', 'tt_r_fc_0008_04', 'tt_r_fc_0012_05']",-0.175,0.93,effective_topic_label,73,0.0365,False,1.0,['cleanser_formula_and_packaging'],0.9909,reportable,cleanser_formula_and_packaging,Cleanser Formula and Packaging Changes,"['Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'Cocoon Winter Melon Cleanser', 'Simple Refreshing Facial Wash']","['CeraVe SA Smoothing Cleanser', 'Senka Perfect Whip', 'Senka Perfect Whip Acne Care', 'CeraVe Hydrating Cleanser', 'Bioderma Sebium Gel Moussant']",1.0,False
