canonical_evidence_phrases,effective_topic_key,effective_topic_label,growth_delta,label_health_score,label_source,noisy_topic,quality_reason_flags,quality_score,raw_topic_key,raw_topic_label,reportability_score,reporting_status,reporting_topic_key,reporting_topic_label,representative_document_ids,representative_texts,salient_terms,stability_score,supporting_phrases,top_terms,topic_size,usefulness_score,weak_topic
"['Eucerin pH5 Facial Cleanser', 'Cetaphil Oily Skin Cleanser', 'CeraVe Hydrating Cleanser', 'CeraVe SA Smoothing Cleanser', 'Hada Labo Acne Care Calming Cleanser']",cleanser_recommendation_by_skin_type,Cleanser Recommendation by Skin Type,428.0,0.93,effective_topic_label,False,[],0.9752,cleanser_recommendation_by_skin_type,Cleanser Recommendation by Skin Type,0.9413,reportable,cleanser_recommendation_by_skin_type,Cleanser Recommendation by Skin Type,"['tt_p_fc_0001:seg-0', 'tt_p_fc_0001:seg-2', 'tt_c_fc_0001_01:seg-0']","['cetaphil oily dùng da nhạy cảm thấy ổn áp ghê', 'không bị không kích ứng', 'nếu đang treatment thì thử La Roche-Posay Effaclar Purifying Foaming Gel đi']","['Eucerin pH5 Facial Cleanser', 'Cetaphil Oily Skin Cleanser', 'CeraVe Hydrating Cleanser', 'CeraVe SA Smoothing Cleanser', 'Hada Labo Acne Care Calming Cleanser']",0.0,"['Simple Moisturising Facial Wash', 'CeraVe Foaming Cleanser', 'Cetaphil Gentle Skin Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Simple Refreshing Facial Wash']","['Eucerin pH5 Facial Cleanser', 'Cetaphil Oily Skin Cleanser', 'CeraVe Hydrating Cleanser', 'CeraVe SA Smoothing Cleanser', 'Hada Labo Acne Care Calming Cleanser']",428,0.9752,False
"['oil control', 'Hada Labo Acne Care Calming Cleanser', 'Eucerin pH5 Facial Cleanser', 'Eucerin ProAcne Solution Cleansing Gel', 'Cocoon Winter Melon Cleanser']",oily_acne_cleansers,Oily and Acne-Prone Skin Cleansers,403.0,0.93,effective_topic_label,False,[],0.9841,oily_acne_cleansers,Oily and Acne-Prone Skin Cleansers,0.9591,reportable,oily_acne_cleansers,Oily and Acne-Prone Skin Cleansers,"['tt_c_fc_0001_01:seg-1', 'tt_c_fc_0001_03:seg-0', 'tt_c_fc_0001_05:seg-0']","['đỡ bí da 🥹 not bad', 'Cetaphil Oily Skin Cleanser trên da mình bị lên mụn ẩn luôn 🙏', 'La Roche-Posay Effaclar Purifying Foaming Gel trên da mình bị lên mụn ẩn luôn 🤣']","['oil control', 'Hada Labo Acne Care Calming Cleanser', 'Eucerin pH5 Facial Cleanser', 'Eucerin ProAcne Solution Cleansing Gel', 'Cocoon Winter Melon Cleanser']",0.0,"['Senka Perfect Whip Acne Care', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Bioderma Sebium Gel Moussant', 'Senka Perfect Whip', 'SVR Sebiaclear Gel Moussant']","['oil control', 'Hada Labo Acne Care Calming Cleanser', 'Eucerin pH5 Facial Cleanser', 'Eucerin ProAcne Solution Cleansing Gel', 'Cocoon Winter Melon Cleanser']",403,0.9841,False
"['Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'Cocoon Winter Melon Cleanser', 'Hada Labo']",cleanser_brand_comparison,Cleanser Brand and Product Comparison,376.0,0.93,effective_topic_label,False,[],0.9936,cleanser_brand_comparison,Cleanser Brand and Product Comparison,0.9773,reportable,cleanser_brand_comparison,Cleanser Brand and Product Comparison,"['tt_c_fc_0001_10:seg-0', 'tt_c_fc_0001_12:seg-1', 'tt_c_fc_0002_11:seg-0']","['mình thấy ceta oily hợp da da hỗn hợp thiên dầu hơn nha thật luôn', 'xài mùa hè thích hơn 🥹', 'mình thấy senka xanh lá hợp da da hỗn hợp thiên khô hơn nha']","['Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'Cocoon Winter Melon Cleanser', 'Hada Labo']",0.0,"['Senka Perfect Whip', 'CeraVe SA Smoothing Cleanser', 'CeraVe Hydrating Cleanser', 'Senka Perfect White Clay', 'Senka Perfect Whip Acne Care']","['Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'Cocoon Winter Melon Cleanser', 'Hada Labo']",376,0.9936,False
"['fake authenticity concern', 'Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Bioderma Sebium Gel Moussant', 'Cocoon Winter Melon Cleanser']",cleanser_authenticity_and_fake_goods,Cleanser Authenticity and Fake Goods,307.0,0.93,effective_topic_label,False,[],1.0,cleanser_authenticity_and_fake_goods,Cleanser Authenticity and Fake Goods,0.9909,reportable,cleanser_authenticity_and_fake_goods,Cleanser Authenticity and Fake Goods,"['tt_c_fc_0001_06:seg-0', 'tt_c_fc_0001_07:seg-1', 'tt_c_fc_0002_04:seg-0']","['mình vote Cetaphil Oily hơn Effaclar Gel vì đỡ mụn đầu đen fake alert', 'fake nhiều lắm', 'mua đúng auth thì Senka Acne Care khá ổn đó']","['fake authenticity concern', 'Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Bioderma Sebium Gel Moussant', 'Cocoon Winter Melon Cleanser']",0.0,"['Hada Labo Acne Care Calming Cleanser', 'CeraVe SA Smoothing Cleanser', 'Senka Perfect Whip Acne Care', 'Senka Perfect Whip', 'Senka Perfect White Clay']","['fake authenticity concern', 'Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Bioderma Sebium Gel Moussant', 'Cocoon Winter Melon Cleanser']",307,1.0,False
"['Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Eucerin pH5 Facial Cleanser', 'Senka Perfect Whip', 'Simple Refreshing Facial Wash', 'Hada Labo']",pricing_and_value,Pricing and Value,301.0,0.93,effective_topic_label,False,[],0.986,pricing_and_value,Pricing and Value,0.9621,reportable,pricing_and_value,Pricing and Value,"['tt_p_fc_0001:seg-3', 'tt_c_fc_0001_07:seg-0', 'tt_c_fc_0001_09:seg-1']","['ai đã dùng lâu dài rồi cho mình xin review real', 'đừng ham rẻ với LRP Effaclar', 'không cay mắt kind of drying xin rv real']","['Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Eucerin pH5 Facial Cleanser', 'Senka Perfect Whip', 'Simple Refreshing Facial Wash', 'Hada Labo']",0.0,"['Hada Labo Acne Care Calming Cleanser', 'Cocoon Winter Melon Cleanser', 'Senka Perfect White Clay', 'Senka Perfect Whip Acne Care', 'price']","['Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Eucerin pH5 Facial Cleanser', 'Senka Perfect Whip', 'Simple Refreshing Facial Wash', 'Hada Labo']",301,0.986,False
"['CeraVe Foaming Cleanser', 'Eucerin pH5 Facial Cleanser', 'Simple Refreshing Facial Wash', 'Bioderma Sebium Gel Moussant', 'Cocoon Winter Melon Cleanser']",cleanser_texture_foam_scent,"Cleanser Texture, Foam, and Scent",246.0,0.93,effective_topic_label,False,[],0.9911,cleanser_texture_foam_scent,"Cleanser Texture, Foam, and Scent",0.973,reportable,cleanser_texture_foam_scent,"Cleanser Texture, Foam, and Scent","['tt_c_fc_0001_13:seg-0', 'tt_p_fc_0002:seg-2', 'tt_c_fc_0002_02:seg-1']","['mua đúng auth thì la roche-posay effaclar purifying foaming gel khá ổn đó', 'không bị mùi hơi nồng', 'bọt vừa phải']","['CeraVe Foaming Cleanser', 'Eucerin pH5 Facial Cleanser', 'Simple Refreshing Facial Wash', 'Bioderma Sebium Gel Moussant', 'Cocoon Winter Melon Cleanser']",0.0,"['SVR Sebiaclear Gel Moussant', 'Senka Perfect Whip', 'CeraVe SA Smoothing Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'CeraVe Hydrating Cleanser']","['CeraVe Foaming Cleanser', 'Eucerin pH5 Facial Cleanser', 'Simple Refreshing Facial Wash', 'Bioderma Sebium Gel Moussant', 'Cocoon Winter Melon Cleanser']",246,0.9911,False
"['Cetaphil Gentle Skin Cleanser', 'CeraVe Hydrating Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Eucerin pH5 Facial Cleanser', 'Hada Labo']",gentle_hydrating_cleansers,Gentle and Hydrating Cleansers,238.0,0.93,effective_topic_label,False,[],0.9832,gentle_hydrating_cleansers,Gentle and Hydrating Cleansers,0.9564,reportable,gentle_hydrating_cleansers,Gentle and Hydrating Cleansers,"['tt_c_fc_0001_02:seg-0', 'tt_c_fc_0003_08:seg-0', 'tt_c_fc_0004_03:seg-1']","['ceta oily trên da mình bị rít da luôn 😩 super gentle', 'cerave hydrating sạch', 'không bị khô căng 🤣 super gentle pass hay mua đây']","['Cetaphil Gentle Skin Cleanser', 'CeraVe Hydrating Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Eucerin pH5 Facial Cleanser', 'Hada Labo']",0.0,"['Hada Labo Acne Care Calming Cleanser', 'CeraVe SA Smoothing Cleanser', 'Simple Moisturising Facial Wash', 'Cetaphil', 'Simple Refreshing Facial Wash']","['Cetaphil Gentle Skin Cleanser', 'CeraVe Hydrating Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Eucerin pH5 Facial Cleanser', 'Hada Labo']",238,0.9832,False
"['Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Cocoon Winter Melon Cleanser', 'Eucerin pH5 Facial Cleanser', 'Senka Perfect Whip', 'Hada Labo']",performance_and_battery,"Performance, Battery, and Charging",110.0,0.93,effective_topic_label,False,[],0.9945,performance_and_battery,"Performance, Battery, and Charging",0.9791,reportable,performance_and_battery,"Performance, Battery, and Charging","['tt_p_fc_0001:seg-1', 'tt_c_fc_0001_09:seg-0', 'tt_p_fc_0002:seg-1']","['rửa sạch', 'Cetaphil Oily sạch', 'rửa sạch']","['Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Cocoon Winter Melon Cleanser', 'Eucerin pH5 Facial Cleanser', 'Senka Perfect Whip', 'Hada Labo']",0.0,"['Simple Refreshing Facial Wash', 'CeraVe SA Smoothing Cleanser', 'Senka Perfect Whip Acne Care', 'Senka Perfect White Clay', 'CeraVe Hydrating Cleanser']","['Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Cocoon Winter Melon Cleanser', 'Eucerin pH5 Facial Cleanser', 'Senka Perfect Whip', 'Hada Labo']",110,0.9945,False
"['overpriced concern', 'Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'CeraVe SA Smoothing Cleanser']",cleanser_price_value_and_promo,"Cleanser Price, Value, and Promotions",96.0,0.93,effective_topic_label,False,[],0.9833,cleanser_price_value_and_promo,"Cleanser Price, Value, and Promotions",0.9575,reportable,cleanser_price_value_and_promo,"Cleanser Price, Value, and Promotions","['tt_p_fc_0003:seg-0', 'tt_c_fc_0004_09:seg-0', 'tt_c_fc_0006_06:seg-1']","['ceta oily hôm nay deal ổn phết', 'ceta oily trên da mình bị khô căng luôn worth the money pass hay mua đây', 'giá hơi cao']","['overpriced concern', 'Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'CeraVe SA Smoothing Cleanser']",0.0,"['Cocoon Winter Melon Cleanser', 'CeraVe Hydrating Cleanser', 'Hada Labo', 'Senka Perfect Whip', 'Senka Perfect Whip Acne Care']","['overpriced concern', 'Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'CeraVe SA Smoothing Cleanser']",96,0.9833,False
"['Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'Cocoon Winter Melon Cleanser', 'Simple Refreshing Facial Wash']",cleanser_formula_and_packaging,Cleanser Formula and Packaging Changes,73.0,0.93,effective_topic_label,False,[],1.0,cleanser_formula_and_packaging,Cleanser Formula and Packaging Changes,0.9909,reportable,cleanser_formula_and_packaging,Cleanser Formula and Packaging Changes,"['tt_r_fc_0001_06:seg-0', 'tt_r_fc_0003_02:seg-0', 'tt_r_fc_0004_03:seg-0']","['mình dùng bản mới thấy khác bản cũ thật ✨ works fine pass hay mua đây', 'mình dùng bản mới thấy khác bản cũ thật', 'mk dùng bản mới thấy khác bản cũ thật 😭']","['Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'Cocoon Winter Melon Cleanser', 'Simple Refreshing Facial Wash']",0.0,"['CeraVe SA Smoothing Cleanser', 'Senka Perfect Whip', 'Senka Perfect Whip Acne Care', 'CeraVe Hydrating Cleanser', 'Bioderma Sebium Gel Moussant']","['Eucerin pH5 Facial Cleanser', 'Hada Labo Advanced Nourish Hyaluronic Acid Cleanser', 'Hada Labo Acne Care Calming Cleanser', 'Cocoon Winter Melon Cleanser', 'Simple Refreshing Facial Wash']",73,1.0,False
