evidence_mode_mix,evidence_references,growth_delta_mentions,issue_category,issue_fact_count,issue_pressure_proxy,mention_count,mention_prevalence_ratio,severity_mix
"{'direct_observation': 0.9894, 'question_or_uncertainty': 0.0106}","['tt_c_fc_0001_06', 'tt_c_fc_0001_07', 'tt_c_fc_0002_04', 'tt_c_fc_0003_01', 'tt_c_fc_0004_04']",0,fake_authenticity_concern,284,149.477,200,0.1,"{'high': 0.0106, 'low': 0.5563, 'medium': 0.4331}"
"{'comparison_based_critique': 0.0043, 'direct_complaint': 0.0129, 'direct_observation': 0.9356, 'question_or_uncertainty': 0.0472}","['tt_c_fc_0001_01', 'tt_c_fc_0001_03', 'tt_c_fc_0001_05', 'tt_c_fc_0001_08', 'tt_c_fc_0001_11']",-10,breakout_after_use,233,98.9887,146,0.073,"{'low': 0.8884, 'medium': 0.1116}"
"{'direct_complaint': 0.0099, 'direct_observation': 0.9901}","['tt_p_fc_0001', 'tt_c_fc_0001_04', 'tt_c_fc_0001_09', 'tt_r_fc_0001_04', 'tt_r_fc_0001_05']",21,irritation_redness,203,88.1357,135,0.0675,"{'low': 0.8571, 'medium': 0.1429}"
"{'direct_complaint': 0.0164, 'direct_observation': 0.9781, 'question_or_uncertainty': 0.0055}","['tt_c_fc_0001_02', 'tt_c_fc_0002_10', 'tt_r_fc_0003_01', 'tt_p_fc_0004', 'tt_c_fc_0004_03']",2,dryness_tightness_problem,183,84.3307,128,0.064,"{'low': 0.7705, 'medium': 0.2295}"
"{'comparison_based_critique': 0.0159, 'direct_observation': 0.9841}","['tt_r_fc_0007_01', 'tt_r_fc_0012_06', 'tt_r_fc_0015_05', 'tt_r_fc_0019_02', 'tt_r_fc_0019_06']",0,overpriced_concern,63,26.0188,36,0.018,"{'low': 0.873, 'medium': 0.127}"
"{'comparison_based_critique': 0.0244, 'direct_complaint': 0.0976, 'direct_observation': 0.878}","['tt_c_fc_0004_08', 'tt_c_fc_0012_06', 'tt_c_fc_0014_06', 'tt_c_fc_0014_13', 'tt_c_fc_0017_05']",-2,overdrying_after_oil_control,41,17.0869,24,0.012,"{'low': 0.9756, 'medium': 0.0244}"
{'direct_observation': 1.0},"['tt_c_fc_0004_08', 'tt_c_fc_0014_13', 'tt_p_fc_0017', 'tt_c_fc_0024_04', 'tt_c_fc_0026_03']",-4,strong_fragrance_complaint,26,11.1762,16,0.008,"{'low': 0.9231, 'medium': 0.0769}"
"{'direct_observation': 0.88, 'question_or_uncertainty': 0.12}","['tt_c_fc_0001_06', 'tt_c_fc_0003_01', 'tt_c_fc_0004_05', 'tt_c_fc_0008_10', 'tt_r_fc_0017_06']",2,trust_concern,25,10.5038,24,0.012,"{'high': 0.04, 'low': 0.88, 'medium': 0.08}"
"{'comparison_based_critique': 0.05, 'direct_complaint': 0.05, 'direct_observation': 0.9}","['tt_c_fc_0012_06', 'tt_c_fc_0014_06', 'tt_c_fc_0014_13', 'tt_c_fc_0017_05', 'tt_c_fc_0030_05']",-4,residue_rinse_problem,20,8.1308,12,0.006,{'low': 1.0}
"{'direct_complaint': 0.1667, 'direct_observation': 0.8333}","['tt_c_fc_0014_06', 'tt_c_fc_0025_02', 'tt_c_fc_0026_03', 'tt_c_fc_0033_04', 'tt_c_fc_0035_06']",-3,packaging_leak_problem,12,4.9715,7,0.0035,{'low': 1.0}
